LEDGER_COUNTRY_NAME;Country;Pays;Land;;Pa�s;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;Military Score;Score militaire;Milit�r;;Puntuaci�n militar;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;Industrial Score;Score industriel;Industrie;;Puntuaci�n industrial;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;Prestige;Prestige;Prestige;;Prestigio;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;Total Score;Score total;Gesamtpunktzahl;;Puntuaci�n total;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCES;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_PROVINCE_NAME;Province;Province;Provinz;;Provincia;;;;;;;;;x;;;;
LEDGER_PROVINCE_TOTALPOP;Total pop.;Popul. tot.;Gesamtbev�lk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGMIL;Avg. Mil.;Milit. moy.;Durchschn. Mil.;;Mil. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGCON;Avg. Con.;Consc. moy.;Durchschn. Bew.;;Con. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGLIT;Avg. Lit.;Alphab. moy.;Durchschn. Alph.;;Alf. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_RELIGION;Religion;Religion;Religion;;Religi�n;;;;;;;;;x;;;;
LEDGER_PROVINCE_CULTURE;Culture;Culture;Kultur;;Cultura;;;;;;;;;x;;;;
LEDGER_PROVINCE_ISSUE;Issue;Position politique;Thema;;Tema;;;;;;;;;x;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideology;Id�ologie;Ideologie;;Ideolog�a;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCE_POPS;Province population;Population de la province;Provinzbev�lkerung;;Poblaci�n de la provincia;;;;;;;;;x;;;;
LEDGER_HEADER_ARMY;Armies;Arm�es;Armeen;;Ej�rcitos;;;;;;;;;x;;;;
LEDGER_ARMY_NAME;Army;Arm�e;Armee;;Ej�rcito;;;;;;;;;x;;;;
LEDGER_ARMY_INFANTRY;Infantry;Infanterie;Infanterie;;Infanter�a;;;;;;;;;x;;;;
LEDGER_ARMY_CAVALRY;Cavalry;Cavalerie;Kavallerie;;Caballer�a;;;;;;;;;x;;;;
LEDGER_ARMY_ARTILLERY;Artillery;Artillerie;Artillerie;;Artiller�a;;;;;;;;;x;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Price history;Historique des prix;Preisverlauf;;Historial de precios;;;;;;;;;x;;;;
LEDGER_COUNTRY_STATUS;Status;Statut;Status;;Estatus;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYCOMPARE;National Comparison;Comparaison nationale;Nationaler Vergleich;;Comparativa de naciones;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTAL_POP;Total pop.;Popul. tot.;Gesamtbev�lk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_COUNTRY_PROVCOUNT;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_COUNTRY_FACTORYCOUNT;Factories;Usines;Fabriken;;F�bricas;;;;;;;;;x;;;;
LEDGER_COUNTRY_LITERACY;Literacy;Alphab�tisation;Alphabetisierung;;Alfabetizaci�n;;;;;;;;;x;;;;
LEDGER_COUNTRY_LEADERSHIP;Leadership;Commandement;Anf�hrerschaft;;Liderazgo;;;;;;;;;x;;;;
LEDGER_COUNTRY_DIVISIONS;Brigades;R�giments;Divisionen;;Brigadas;;;;;;;;;x;;;;
LEDGER_COUNTRY_SHIPS;Ships;Navires;Schiffe;;Barcos;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPARTY;Political systems;Syst�mes politiques;Politische Systeme;;Sistemas pol�ticos;;;;;;;;;x;;;;
LEDGER_COUNTRY_GOVERNMENT;Government;Gouvernement;Regierung;;Gobierno;;;;;;;;;x;;;;
LEDGER_COUNTRY_NATIONALVALUE;National Value;Valeur nationale;Nationalwert;;Valor nacional;;;;;;;;;x;;;;
LEDGER_COUNTRY_RULINGPARTY;Ruling party;Parti dirigeant;Regierungspartei;;Partido gobernante;;;;;;;;;x;;;;
LEDGER_COUNTRY_RULINGIDEOLOGY;Party ideology;Id�ologie du parti;Partieideologie;;Ideolog�a del partido;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;Political reforms;R�formes politiques;Politische Reformen;;Reformas pol�ticas;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYSOCIALREFORMS;Social reforms;R�formes sociales;Soziale Reformen;;Reformas sociales;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRY_POPS;Country population;Population du pays;Landesbev�lkerung;;Poblaci�n del pa�s;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCEPRODUCTION;Province production;Production de la province;Provinzproduktion;;Producci�n de la provincia;;;;;;;;;x;;;;
LEDGER_STATE_NAME;State;�tat;Region;;Estado;;;;;;;;;x;;;;
LEDGER_GOODS;Goods;Marchandises;G�ter;;Bienes;;;;;;;;;x;;;;
LEDGER_OUTPUT;Output;Production;Leistung;;Producci�n;;;;;;;;;x;;;;
LEDGER_INCOME;Income;Revenus;Einnahmen;;Ingresos;;;;;;;;;x;;;;
LEDGER_EMPLOYED;Employed;Emplois;Besch�ftigt;;Empleados;;;;;;;;;x;;;;
LEDGER_LEVEL;Level;Niveau;Stufe;;Nivel;;;;;;;;;x;;;;
LEDGER_HEADER_FACTORYPRODUCTION;Factory production;Production de l'usine;Fabrikproduktion;;Producci�n de la f�brica;;;;;;;;;x;;;;
BUDGET;Budget;Budget;Haushalt;;Presupuesto;;;;;;;;;x;;;;
BUDGET_TAX_POOR;Tax(Poor);Imp�ts (classes d�favoris�es);Steuern (Unterschicht);;Impuestos (pobres);;;;;;;;;x;;;;
BUDGET_TAX_POOR_DESC;;;;;;;;;;;;;;x;;;;
